year,box_status,pair,nest_box,site,species,occupancy,distance,tree_cover_box,tree_cover_site,site_occupancy,noise,noise_site_mean,noise_box_site_diff,noise_site_cv,site_type,laydate
2012,established,3,TP03B8,TP03,,0,176.9180601,0.222222222,0.165137615,3,66.2,67.77,-1.57,7.582317138,Treatment,
2012,established,3,TP03B9,TP03,,0,87.658428,0,0.165137615,3,74.3,67.77,6.53,7.582317138,Treatment,
2012,established,3,TP03B10,TP03,,0,176.2328006,0,0.165137615,3,60.4,67.77,-7.37,7.582317138,Treatment,
2012,established,4,CP04B1,CP04,,0,190.9057359,0.857142857,0.415525114,0,60.6,62.18,-1.58,1.588094475,Control,
2012,established,4,CP04B2,CP04,,0,86.092973,0.25,0.415525114,0,62.7,62.18,0.52,1.588094475,Control,
2012,established,4,CP04B3,CP04,,0,136.5650028,0,0.415525114,0,62.7,62.18,0.52,1.588094475,Control,
2012,established,4,CP04B4,CP04,,0,198.7586476,0,0.415525114,0,62.2,62.18,0.02,1.588094475,Control,
2012,established,4,CP04B5,CP04,,0,70.83078427,0,0.415525114,0,61.7,62.18,-0.48,1.588094475,Control,
2012,established,4,CP04B6,CP04,,0,81.0246876,0.428571429,0.415525114,0,62,62.18,-0.18,1.588094475,Control,
2012,established,4,CP04B7,CP04,,0,120.0708124,1,0.415525114,0,63.6,62.18,1.42,1.588094475,Control,
2012,established,4,CP04B8,CP04,,0,144.222051,1,0.415525114,0,63.5,62.18,1.32,1.588094475,Control,
2012,established,4,CP04B9,CP04,,0,83.19254774,0.666666667,0.415525114,0,60.9,62.18,-1.28,1.588094475,Control,
2012,established,4,CP04B10,CP04,,0,126.1942946,0.333333333,0.415525114,0,61.9,62.18,-0.28,1.588094475,Control,
2012,established,4,TP04B1,TP04,,0,121.7579566,0.142857143,0.334862385,1,68.1,67.68,0.42,2.420643903,Treatment,
2012,established,4,TP04B2,TP04,,0,67.68308504,0.857142857,0.334862385,1,69,67.68,1.32,2.420643903,Treatment,
2012,established,4,TP04B3,TP04,,0,106.5692263,0.857142857,0.334862385,1,68.2,67.68,0.52,2.420643903,Treatment,
2012,established,4,TP04B4,TP04,,0,154.5639026,0.428571429,0.334862385,1,68.2,67.68,0.52,2.420643903,Treatment,
2012,established,4,TP04B5,TP04,,0,80.13114251,1,0.334862385,1,69.1,67.68,1.42,2.420643903,Treatment,
2012,established,4,TP04B6,TP04,,0,93.0376268,0.375,0.334862385,1,66.6,67.68,-1.08,2.420643903,Treatment,
2012,established,4,TP04B7,TP04,,0,152.2005256,0,0.334862385,1,64.1,67.68,-3.58,2.420643903,Treatment,
2012,established,4,TP04B8,TP04,,0,175.1485084,0.428571429,0.334862385,1,65.9,67.68,-1.78,2.420643903,Treatment,
2012,established,4,TP04B9,TP04,,0,69.4046108,0.142857143,0.334862385,1,68.9,67.68,1.22,2.420643903,Treatment,
2012,established,4,TP04B10,TP04,JUTI,1,118.2708755,0.142857143,0.334862385,1,68.7,67.68,1.02,2.420643903,Treatment,118
2012,established,5,CP05B1,CP05,ATFL,1,81.88406438,0.857142857,0.821596244,5,60,62.03,-2.03,1.919637912,Control,142
2012,established,5,CP05B2,CP05,WEBL,1,104.2928569,0.714285714,0.821596244,5,62.8,62.03,0.77,1.919637912,Control,159
2012,established,5,CP05B3,CP05,,0,163.2329624,1,0.821596244,5,64.2,62.03,2.17,1.919637912,Control,
2012,established,5,CP05B4,CP05,BEWR,1,75.00666637,0.571428571,0.821596244,5,61.7,62.03,-0.33,1.919637912,Control,161
2012,established,5,CP05B5,CP05,WEBL,1,124.7878199,0.6,0.821596244,5,61.1,62.03,-0.93,1.919637912,Control,121
2012,established,5,CP05B6,CP05,,0,175.4536976,1,0.821596244,5,61.5,62.03,-0.53,1.919637912,Control,
2012,established,5,CP05B7,CP05,ATFL,1,101.414989,0.875,0.821596244,5,63.2,62.03,1.17,1.919637912,Control,140
2012,established,5,CP05B8,CP05,,0,137.3207923,1,0.821596244,5,62.6,62.03,0.57,1.919637912,Control,
2012,established,5,CP05B9,CP05,,0,198.6001007,1,0.821596244,5,61.5,62.03,-0.53,1.919637912,Control,
2012,established,5,CP05B10,CP05,,0,78.58753082,0.75,0.821596244,5,61.7,62.03,-0.33,1.919637912,Control,
2012,established,5,TP05B1,TP05,,0,78.58753082,0,0.191780822,3,82.5,81.26,1.24,4.493281167,Treatment,
2012,established,5,TP05B2,TP05,,0,118.5326959,0,0.191780822,3,85.8,81.26,4.54,4.493281167,Treatment,
2012,established,5,TP05B3,TP05,ATFL,1,161.1521021,0,0.191780822,3,76,81.26,-5.26,4.493281167,Treatment,159
2012,established,5,TP05B4,TP05,WEBL,1,57.48912941,0,0.191780822,3,82.3,81.26,1.04,4.493281167,Treatment,117
2012,established,5,TP05B5,TP05,ATFL,1,131.4001522,0,0.191780822,3,79.6,81.26,-1.66,4.493281167,Treatment,142
2012,established,5,TP05B6,TP05,,0,180.1887899,0.625,0.191780822,3,77.6,81.26,-3.66,4.493281167,Treatment,
2012,established,5,TP05B7,TP05,,0,80.44874144,0,0.191780822,3,84.5,81.26,3.24,4.493281167,Treatment,
2012,established,5,TP05B8,TP05,,0,141.3152504,0,0.191780822,3,81.3,81.26,0.04,4.493281167,Treatment,
2012,established,5,TP05B9,TP05,,0,171.2921481,0,0.191780822,3,76.9,81.26,-4.36,4.493281167,Treatment,
2012,established,5,TP05B10,TP05,,0,68.8839604,0,0.191780822,3,86.1,81.26,4.84,4.493281167,Treatment,
2012,established,6,CP06B1,CP06,BEWR,1,133.461605,0,0.352112676,6,65.9,64.94,0.96,2.424140789,Control,127
2012,established,6,CP06B2,CP06,ATFL,1,178.809955,0,0.352112676,6,66.6,64.94,1.66,2.424140789,Control,138
2012,established,6,CP06B3,CP06,,0,62.22539674,1,0.352112676,6,65.8,64.94,0.86,2.424140789,Control,
2012,established,6,CP06B4,CP06,,0,123.9758041,1,0.352112676,6,66.7,64.94,1.76,2.424140789,Control,
2012,established,6,CP06B5,CP06,ATFL,1,165.8493292,0.285714286,0.352112676,6,66.1,64.94,1.16,2.424140789,Control,155
2012,established,6,CP06B5,CP06,WEBL,1,165.8493292,0.285714286,0.352112676,6,66.1,64.94,1.16,2.424140789,Control,113
2012,established,6,CP06B6,CP06,,0,141.8344105,0,0.352112676,6,64.5,64.94,-0.44,2.424140789,Control,
2012,established,6,CP06B7,CP06,WEBL,1,68.46897107,0,0.352112676,6,63.3,64.94,-1.64,2.424140789,Control,103
2012,established,6,CP06B8,CP06,ATFL,1,118.1905242,0.571428571,0.352112676,6,62.6,64.94,-2.34,2.424140789,Control,138
2012,established,6,CP06B9,CP06,,0,171.7323499,0,0.352112676,6,62.7,64.94,-2.24,2.424140789,Control,
2012,established,6,CP06B10,CP06,,0,85.80209788,0,0.352112676,6,65.2,64.94,0.26,2.424140789,Control,
2012,established,6,TP06B1,TP06,,0,118.9663818,0.857142857,0.502325581,0,66.7,69.17,-2.47,5.879254486,Treatment,
2012,established,6,TP06B2,TP06,,0,171.6420694,0.875,0.502325581,0,64.5,69.17,-4.67,5.879254486,Treatment,
2012,established,6,TP06B3,TP06,,0,121.2105606,0.428571429,0.502325581,0,65.2,69.17,-3.97,5.879254486,Treatment,
2012,established,6,TP06B4,TP06,,0,71.51223672,0.571428571,0.502325581,0,69.6,69.17,0.43,5.879254486,Treatment,
2012,established,6,TP06B5,TP06,,0,178.0112356,1,0.502325581,0,65.6,69.17,-3.57,5.879254486,Treatment,
2012,established,6,TP06B6,TP06,,0,189.2353033,1,0.502325581,0,66.4,69.17,-2.77,5.879254486,Treatment,
2012,established,6,TP06B7,TP06,,0,85.84287973,0.285714286,0.502325581,0,73.2,69.17,4.03,5.879254486,Treatment,
2012,established,6,TP06B8,TP06,,0,126.0634761,0.142857143,0.502325581,0,74.5,69.17,5.33,5.879254486,Treatment,
2012,established,6,TP06B9,TP06,,0,154.0032467,0.333333333,0.502325581,0,70.7,69.17,1.53,5.879254486,Treatment,
2012,established,6,TP06B10,TP06,,0,72.99315036,0.571428571,0.502325581,0,75.3,69.17,6.13,5.879254486,Treatment,
2012,established,7,TP07B1,TP07,,0,87.20665112,0.285714286,0.686915888,0,77.6,76.41,1.19,4.489892902,Treatment,
2012,established,7,TP07B2,TP07,,0,130.1883251,0.428571429,0.686915888,0,75.5,76.41,-0.91,4.489892902,Treatment,
2012,established,7,TP07B3,TP07,,0,165.3027525,0.142857143,0.686915888,0,72.6,76.41,-3.81,4.489892902,Treatment,
2012,established,7,TP07B4,TP07,,0,89.27485648,0.75,0.686915888,0,79.7,76.41,3.29,4.489892902,Treatment,
2012,established,7,TP07B5,TP07,,0,111.5706054,0,0.686915888,0,78.6,76.41,2.19,4.489892902,Treatment,
2012,established,7,TP07B6,TP07,,0,98.88377015,0.714285714,0.686915888,0,75.1,76.41,-1.31,4.489892902,Treatment,
2012,established,7,TP07B7,TP07,,0,74.14849965,1,0.686915888,0,80.5,76.41,4.09,4.489892902,Treatment,
2012,established,7,TP07B8,TP07,,0,123.745707,1,0.686915888,0,74.2,76.41,-2.21,4.489892902,Treatment,
2012,established,7,TP07B9,TP07,,0,181.4965564,1,0.686915888,0,70.3,76.41,-6.11,4.489892902,Treatment,
2012,established,7,TP07B10,TP07,,0,74.8465096,0.571428571,0.686915888,0,80,76.41,3.59,4.489892902,Treatment,
2012,established,8,CP08B1,CP08,,0,131.8825235,1,0.945454545,1,53.1,54.05,-0.95,3.103761879,Control,
2012,established,8,CP08B2,CP08,,0,181.2318956,1,0.945454545,1,57.7,54.05,3.65,3.103761879,Control,
2012,established,8,CP08B3,CP08,WEBL,1,79.0569415,1,0.945454545,1,53.8,54.05,-0.25,3.103761879,Control,119
2012,established,8,CP08B4,CP08,,0,125.4472,1,0.945454545,1,53,54.05,-1.05,3.103761879,Control,
2012,established,8,CP08B5,CP08,,0,161.4465856,1,0.945454545,1,54.4,54.05,0.35,3.103761879,Control,
2012,established,8,CP08B6,CP08,,0,81.84130986,0.714285714,0.945454545,1,54.8,54.05,0.75,3.103761879,Control,
2012,established,8,CP08B7,CP08,,0,132.8344835,1,0.945454545,1,53.3,54.05,-0.75,3.103761879,Control,
2012,established,8,CP08B8,CP08,,0,168.3597339,1,0.945454545,1,54.1,54.05,0.05,3.103761879,Control,
2012,established,8,CP08B9,CP08,,0,71.19691005,0.571428571,0.945454545,1,54.1,54.05,0.05,3.103761879,Control,
2012,established,8,CP08B10,CP08,,0,139.0323703,1,0.945454545,1,52.3,54.05,-1.75,3.103761879,Control,
2012,established,9,CP09B1,CP09,ATFL,1,111.4001795,0,0.014084507,5,57.1,58.52,-1.42,4.511623398,Control,143
2012,established,9,CP09B1,CP09,MOBL,1,111.4001795,0,0.014084507,5,57.1,58.52,-1.42,4.511623398,Control,161
2012,established,9,CP09B2,CP09,,0,120.8801059,0,0.014084507,5,55.4,58.52,-3.12,4.511623398,Control,
2012,established,9,CP09B3,CP09,,0,152.0032894,0,0.014084507,5,57.4,58.52,-1.12,4.511623398,Control,
2012,established,9,CP09B4,CP09,,0,68.26419266,0,0.014084507,5,62.8,58.52,4.28,4.511623398,Control,
2012,established,9,CP09B5,CP09,MOBL,1,135.7939616,0,0.014084507,5,59.3,58.52,0.78,4.511623398,Control,114
2012,established,9,CP09B5,CP09,WEBL,1,135.7939616,0,0.014084507,5,59.3,58.52,0.78,4.511623398,Control,156
2012,established,9,CP09B6,CP09,,0,196.4739168,0.428571429,0.014084507,5,55,58.52,-3.52,4.511623398,Control,
2012,established,9,CP09B7,CP09,MOBL,1,85.42247948,0,0.014084507,5,59.8,58.52,1.28,4.511623398,Control,116
2012,established,9,CP09B8,CP09,,0,125.8014308,0,0.014084507,5,62.2,58.52,3.68,4.511623398,Control,
2012,established,9,CP09B9,CP09,,0,170.5784277,0,0.014084507,5,56.9,58.52,-1.62,4.511623398,Control,
2012,established,9,CP09B10,CP09,,0,94.04786016,0,0.014084507,5,59.3,58.52,0.78,4.511623398,Control,
2012,established,9,TP09B1,TP09,,0,83.81527307,1,0.558685446,1,70,68.48,1.52,4.420575258,Treatment,
2012,established,9,TP09B2,TP09,,0,143.1362987,0.714285714,0.558685446,1,65,68.48,-3.48,4.420575258,Treatment,
2012,established,9,TP09B3,TP09,ATFL,1,210.8459153,0.714285714,0.558685446,1,63.9,68.48,-4.58,4.420575258,Treatment,134
2012,established,9,TP09B4,TP09,,0,107.2240645,0.571428571,0.558685446,1,67.9,68.48,-0.58,4.420575258,Treatment,
2012,established,9,TP09B5,TP09,,0,127.8827588,0.666666667,0.558685446,1,67.1,68.48,-1.38,4.420575258,Treatment,
2012,established,9,TP09B6,TP09,,0,175.846524,1,0.558685446,1,67.7,68.48,-0.78,4.420575258,Treatment,
2012,established,9,TP09B7,TP09,,0,73.55270219,1,0.558685446,1,74.1,68.48,5.62,4.420575258,Treatment,
2012,established,9,TP09B8,TP09,,0,120.9173271,0.666666667,0.558685446,1,68.9,68.48,0.42,4.420575258,Treatment,
2012,established,9,TP09B9,TP09,,0,161.3009609,0,0.558685446,1,68.2,68.48,-0.28,4.420575258,Treatment,
2012,established,9,TP09B10,TP09,,0,65,0.857142857,0.558685446,1,72,68.48,3.52,4.420575258,Treatment,
2012,first_year,10,CP10B1,CP10,,0,75.33,0.75,0.657276995,0,62.4,63.3,-0.9,2.935371908,Control,
2012,first_year,10,CP10B2,CP10,,0,123.3,0.666666667,0.657276995,0,63.6,63.3,0.3,2.935371908,Control,
2012,first_year,10,CP10B3,CP10,,0,184.32,0.285714286,0.657276995,0,62.2,63.3,-1.1,2.935371908,Control,
2012,first_year,10,CP10B4,CP10,,0,89.41,0.285714286,0.657276995,0,63.1,63.3,-0.2,2.935371908,Control,
2012,first_year,10,CP10B5,CP10,,0,143.5,0.714285714,0.657276995,0,62.6,63.3,-0.7,2.935371908,Control,
2012,first_year,10,CP10B6,CP10,,0,161.13,0.166666667,0.657276995,0,60.6,63.3,-2.7,2.935371908,Control,
2012,first_year,10,CP10B7,CP10,,0,90.59,0.25,0.657276995,0,63.3,63.3,0,2.935371908,Control,
2012,first_year,10,CP10B8,CP10,,0,67.36,0.857142857,0.657276995,0,64.6,63.3,1.3,2.935371908,Control,
2012,first_year,10,CP10B9,CP10,,0,157.06,1,0.657276995,0,67.3,63.3,4,2.935371908,Control,
2012,first_year,10,TP10B1,TP10,,0,96.55,1,0.802816901,0,78.5,75.24,3.26,4.768746288,Treatment,
2012,first_year,10,TP10B2,TP10,,0,137.24,1,0.802816901,0,73.3,75.24,-1.94,4.768746288,Treatment,
2012,first_year,10,TP10B3,TP10,,0,190.41,0.714285714,0.802816901,0,73.9,75.24,-1.34,4.768746288,Treatment,
2012,first_year,10,TP10B4,TP10,,0,62.29,1,0.802816901,0,78.4,75.24,3.16,4.768746288,Treatment,
2012,first_year,10,TP10B5,TP10,,0,102.15,1,0.802816901,0,73.1,75.24,-2.14,4.768746288,Treatment,
2012,first_year,10,TP10B6,TP10,,0,154.96,1,0.802816901,0,70.6,75.24,-4.64,4.768746288,Treatment,
2012,first_year,10,TP10B7,TP10,,0,63.31,1,0.802816901,0,77,75.24,1.76,4.768746288,Treatment,
2012,first_year,10,TP10B8,TP10,,0,123.12,1,0.802816901,0,74,75.24,-1.24,4.768746288,Treatment,
2012,first_year,10,TP10B9,TP10,,0,107.09,1,0.802816901,0,71.6,75.24,-3.64,4.768746288,Treatment,
2012,first_year,10,TP10B10,TP10,,0,78.69,1,0.802816901,0,82,75.24,6.76,4.768746288,Treatment,
2012,first_year,11,CP11B1,CP11,,0,102.05,0.142857143,0.164383562,3,60.6,59.36,1.24,2.319665024,Control,
2012,first_year,11,CP11B2,CP11,ATFL,1,158.7,0,0.164383562,3,61.1,59.36,1.74,2.319665024,Control,141
2012,first_year,11,CP11B3,CP11,,0,85.36,0,0.164383562,3,59.6,59.36,0.24,2.319665024,Control,
2012,first_year,11,CP11B4,CP11,ATFL,1,156.92,0,0.164383562,3,57.2,59.36,-2.16,2.319665024,Control,165
2012,first_year,11,CP11B5,CP11,,0,132.67,0,0.164383562,3,57.8,59.36,-1.56,2.319665024,Control,
2012,first_year,11,CP11B6,CP11,,0,91.17,0,0.164383562,3,60.3,59.36,0.94,2.319665024,Control,
2012,first_year,11,CP11B7,CP11,,0,131.8,0,0.164383562,3,58.7,59.36,-0.66,2.319665024,Control,
2012,first_year,11,CP11B8,CP11,ATFL,1,170.56,0.714285714,0.164383562,3,57.8,59.36,-1.56,2.319665024,Control,142
2012,first_year,11,CP11B9,CP11,,0,69.75,0.5,0.164383562,3,60.2,59.36,0.84,2.319665024,Control,
2012,first_year,11,CP11B10,CP11,,0,90.19,0.571428571,0.164383562,3,60.3,59.36,0.94,2.319665024,Control,
2012,first_year,11,TP11B1,TP11,,0,82.32,0.571428571,0.819444444,2,72.8,68.42,4.38,4.345423863,Treatment,
2012,first_year,11,TP11B2,TP11,,0,131.16,0.714285714,0.819444444,2,66.5,68.42,-1.92,4.345423863,Treatment,
2012,first_year,11,TP11B3,TP11,,0,160.62,0,0.819444444,2,65.9,68.42,-2.52,4.345423863,Treatment,
2012,first_year,11,TP11B4,TP11,,0,51.28,0,0.819444444,2,72.4,68.42,3.98,4.345423863,Treatment,
2012,first_year,11,TP11B5,TP11,,0,125.2,0,0.819444444,2,65.6,68.42,-2.82,4.345423863,Treatment,
2012,first_year,11,TP11B6,TP11,ATFL,1,150.06,0,0.819444444,2,66,68.42,-2.42,4.345423863,Treatment,143
2012,first_year,11,TP11B7,TP11,,0,73.98,0,0.819444444,2,70.6,68.42,2.18,4.345423863,Treatment,
2012,first_year,11,TP11B8,TP11,,0,96.85,0,0.819444444,2,69.7,68.42,1.28,4.345423863,Treatment,
2012,first_year,11,TP11B9,TP11,,0,198.64,1,0.819444444,2,64.9,68.42,-3.52,4.345423863,Treatment,
2012,first_year,11,TP11B10,TP11,ATFL,1,77.77,0.142857143,0.819444444,2,69.8,68.42,1.38,4.345423863,Treatment,146
2012,first_year,12,CP12B1,CP12,,0,121.03,0,0.168949772,0,62.1,61.33,0.77,1.956703563,Control,
2012,first_year,12,CP12B2,CP12,,0,170.4,0.285714286,0.168949772,0,60.4,61.33,-0.93,1.956703563,Control,
2012,first_year,12,CP12B3,CP12,,0,67.64,0,0.168949772,0,59.8,61.33,-1.53,1.956703563,Control,
2012,first_year,12,CP12B4,CP12,,0,108.03,0,0.168949772,0,62.9,61.33,1.57,1.956703563,Control,
2012,first_year,12,CP12B5,CP12,,0,169.82,0,0.168949772,0,61.6,61.33,0.27,1.956703563,Control,
2012,first_year,12,CP12B6,CP12,,0,80.39,0,0.168949772,0,60,61.33,-1.33,1.956703563,Control,
2012,first_year,12,CP12B7,CP12,,0,134.01,0,0.168949772,0,61.6,61.33,0.27,1.956703563,Control,
2012,first_year,12,CP12B8,CP12,,0,185.95,0.857142857,0.168949772,0,63.1,61.33,1.77,1.956703563,Control,
2012,first_year,12,CP12B9,CP12,,0,89.5,0,0.168949772,0,60.1,61.33,-1.23,1.956703563,Control,
2012,first_year,12,CP12B10,CP12,,0,134.94,0,0.168949772,0,61.7,61.33,0.37,1.956703563,Control,
2012,first_year,12,TP12B1,TP12,,0,79.35,0.666666667,0.683257919,2,68.8,65.36,3.44,7.982112313,Treatment,
2012,first_year,12,TP12B2,TP12,ATFL,1,128.21,0.571428571,0.683257919,2,62.9,65.36,-2.46,7.982112313,Treatment,132
2012,first_year,12,TP12B3,TP12,ATFL,1,164.44,0.428571429,0.683257919,2,55.9,65.36,-9.46,7.982112313,Treatment,148
2012,first_year,12,TP12B4,TP12,,0,92.35,0.142857143,0.683257919,2,71.1,65.36,5.74,7.982112313,Treatment,
2012,first_year,12,TP12B5,TP12,,0,117.27,0.285714286,0.683257919,2,62.8,65.36,-2.56,7.982112313,Treatment,
2012,first_year,12,TP12B6,TP12,,0,195.79,0.142857143,0.683257919,2,58.2,65.36,-7.16,7.982112313,Treatment,
2012,first_year,12,TP12B7,TP12,,0,78.4,0.571428571,0.683257919,2,69.6,65.36,4.24,7.982112313,Treatment,
2012,first_year,12,TP12B8,TP12,,0,120.14,0,0.683257919,2,69.5,65.36,4.14,7.982112313,Treatment,
2012,first_year,12,TP12B9,TP12,,0,154.39,0.8,0.683257919,2,66.1,65.36,0.74,7.982112313,Treatment,
2012,first_year,12,TP12B10,TP12,,0,59.92,0.714285714,0.683257919,2,68.7,65.36,3.34,7.982112313,Treatment,
2013,established,1,CP01B1,CP01,,0,132.1362933,0,0.114155251,2,57.5,57.05,0.45,2.409413918,Control,
2013,established,1,CP01B2,CP01,,0,173.0028901,0.285714286,0.114155251,2,56.4,57.05,-0.65,2.409413918,Control,
2013,established,1,CP01B3,CP01,,0,72.9177619,0.142857143,0.114155251,2,57,57.05,-0.05,2.409413918,Control,
2013,established,1,CP01B4,CP01,,0,144.4714505,0.142857143,0.114155251,2,57.3,57.05,0.25,2.409413918,Control,
2013,established,1,CP01B5,CP01,JUTI,1,181.3725448,0,0.114155251,2,60,57.05,2.95,2.409413918,Control,126
2013,established,1,CP01B6,CP01,,0,70.71067812,0,0.114155251,2,55.8,57.05,-1.25,2.409413918,Control,
2013,established,1,CP01B7,CP01,,0,129.0155029,0,0.114155251,2,58.1,57.05,1.05,2.409413918,Control,
2013,established,1,CP01B8,CP01,,0,183.7307813,0,0.114155251,2,55.4,57.05,-1.65,2.409413918,Control,
2013,established,1,CP01B9,CP01,WEBL,1,68.44705983,0,0.114155251,2,55.6,57.05,-1.45,2.409413918,Control,125
2013,established,1,CP01B10,CP01,,0,120.569482,0,0.114155251,2,57.4,57.05,0.35,2.409413918,Control,
2013,established,1,TP01B1,TP01,,0,121.4125199,0,0.187214612,1,72.7,74.65,-1.95,5.850116459,Treatment,
2013,established,1,TP01B2,TP01,,0,161.0124219,0.285714286,0.187214612,1,69.4,74.65,-5.25,5.850116459,Treatment,
2013,established,1,TP01B3,TP01,,0,64.84597135,0.571428571,0.187214612,1,78,74.65,3.35,5.850116459,Treatment,
2013,established,1,TP01B4,TP01,,0,118.5326959,0.571428571,0.187214612,1,75.9,74.65,1.25,5.850116459,Treatment,
2013,established,1,TP01B5,TP01,,0,179.3348823,0,0.187214612,1,76.6,74.65,1.95,5.850116459,Treatment,
2013,established,1,TP01B6,TP01,ATFL,1,87.64131446,0,0.187214612,1,79.8,74.65,5.15,5.850116459,Treatment,140
2013,established,1,TP01B7,TP01,,0,127.4754878,0.142857143,0.187214612,1,72,74.65,-2.65,5.850116459,Treatment,
2013,established,1,TP01B8,TP01,,0,174.1551033,0.375,0.187214612,1,69,74.65,-5.65,5.850116459,Treatment,
2013,established,1,TP01B9,TP01,,0,90.80198236,0.4,0.187214612,1,81.6,74.65,6.95,5.850116459,Treatment,
2013,established,1,TP01B10,TP01,,0,129.8499134,0,0.187214612,1,71.5,74.65,-3.15,5.850116459,Treatment,
2013,established,2,CP02B1,CP02,ATFL,1,185.9516066,0,0.059090909,3,62,61.53,0.47,2.901275529,Control,
2013,established,2,CP02B2,CP02,,0,79.75587753,0,0.059090909,3,62.8,61.53,1.27,2.901275529,Control,
2013,established,2,CP02B3,CP02,,0,128.1327437,0,0.059090909,3,61,61.53,-0.53,2.901275529,Control,
2013,established,2,CP02B4,CP02,,0,166.8831927,0.75,0.059090909,3,58.6,61.53,-2.93,2.901275529,Control,
2013,established,2,CP02B5,CP02,,0,70.51950085,0,0.059090909,3,62.2,61.53,0.67,2.901275529,Control,
2013,established,2,CP02B6,CP02,ATFL,1,109.658561,0,0.059090909,3,61,61.53,-0.53,2.901275529,Control,138
2013,established,2,CP02B7,CP02,,0,171.0467772,0,0.059090909,3,65.2,61.53,3.67,2.901275529,Control,
2013,established,2,CP02B8,CP02,,0,71.80529228,0,0.059090909,3,61.3,61.53,-0.23,2.901275529,Control,
2013,established,2,CP02B9,CP02,JUTI,1,109.6220781,0,0.059090909,3,59.6,61.53,-1.93,2.901275529,Control,130
2013,established,2,CP02B10,CP02,,0,181.6617736,0,0.059090909,3,61.6,61.53,0.07,2.901275529,Control,
2013,established,2,TP02B1,TP02,,0,172.5253605,0.714285714,0.331818182,1,66.3,65.13,1.17,6.763876016,Treatment,
2013,established,2,TP02B2,TP02,,0,67.2086304,0,0.331818182,1,73.4,65.13,8.27,6.763876016,Treatment,
2013,established,2,TP02B3,TP02,,0,123.3288287,0.285714286,0.331818182,1,67.7,65.13,2.57,6.763876016,Treatment,
2013,established,2,TP02B4,TP02,,0,175.3852901,0.285714286,0.331818182,1,59.7,65.13,-5.43,6.763876016,Treatment,
2013,established,2,TP02B5,TP02,JUTI,1,72.33947747,1,0.331818182,1,68.2,65.13,3.07,6.763876016,Treatment,131
2013,established,2,TP02B6,TP02,,0,126.8739532,0.428571429,0.331818182,1,64.7,65.13,-0.43,6.763876016,Treatment,
2013,established,2,TP02B7,TP02,,0,191.760267,0,0.331818182,1,57.5,65.13,-7.63,6.763876016,Treatment,
2013,established,2,TP02B8,TP02,,0,99.82484661,0,0.331818182,1,64.8,65.13,-0.33,6.763876016,Treatment,
2013,established,2,TP02B9,TP02,,0,125.9364919,0.285714286,0.331818182,1,64.3,65.13,-0.83,6.763876016,Treatment,
2013,established,2,TP02B10,TP02,,0,167.7050983,0.714285714,0.331818182,1,64.7,65.13,-0.43,6.763876016,Treatment,
2013,established,3,CP03B1,CP03,,0,165.8493292,0,0.200913242,9,58.1,58.4,-0.3,3.245905755,Control,
2013,established,3,CP03B2,CP03,ATFL,1,186.775266,0.125,0.200913242,9,58.4,58.4,0,3.245905755,Control,
2013,established,3,CP03B2,CP03,WEBL,1,186.775266,0.125,0.200913242,9,58.4,58.4,0,3.245905755,Control,
2013,established,3,CP03B3,CP03,MOBL,1,176.0823671,0.285714286,0.200913242,9,54.5,58.4,-3.9,3.245905755,Control,151
2013,established,3,CP03B4,CP03,,0,199.9049774,0,0.200913242,9,59.7,58.4,1.3,3.245905755,Control,
2013,established,3,CP03B5,CP03,,0,137.0328428,0,0.200913242,9,60.4,58.4,2,3.245905755,Control,
2013,established,3,CP03B6,CP03,ATFL,1,88.32326987,0,0.200913242,9,60.9,58.4,2.5,3.245905755,Control,137
2013,established,3,CP03B7,CP03,MOBL,1,124.3261839,0,0.200913242,9,58.3,58.4,-0.1,3.245905755,Control,
2013,established,3,CP03B8,CP03,JUTI,1,176.9180601,0,0.200913242,9,57,58.4,-1.4,3.245905755,Control,
2013,established,3,CP03B9,CP03,MOBL,1,87.658428,0,0.200913242,9,57.1,58.4,-1.3,3.245905755,Control,128
2013,established,3,CP03B10,CP03,WEBL,1,176.2328006,0,0.200913242,9,59.6,58.4,1.2,3.245905755,Control,123
2013,established,3,CP03B10,CP03,WEBL,1,176.2328006,0,0.200913242,9,59.6,58.4,1.2,3.245905755,Control,
2013,established,3,TP03B1,TP03,ATFL,1,60.90155991,0,0.165137615,7,74.4,67.77,6.63,7.582317138,Treatment,146
2013,established,3,TP03B2,TP03,WEBL,1,146.0034246,0,0.165137615,7,70,67.77,2.23,7.582317138,Treatment,132
2013,established,3,TP03B3,TP03,JUTI,1,176.0823671,0,0.165137615,7,64.4,67.77,-3.37,7.582317138,Treatment,
2013,established,3,TP03B4,TP03,,0,199.9049774,0,0.165137615,7,61.9,67.77,-5.87,7.582317138,Treatment,
2013,established,3,TP03B5,TP03,WEBL,1,137.0328428,0,0.165137615,7,63.7,67.77,-4.07,7.582317138,Treatment,126
2013,established,3,TP03B6,TP03,ATFL,1,88.32326987,0.285714286,0.165137615,7,69.9,67.77,2.13,7.582317138,Treatment,
2013,established,3,TP03B7,TP03,,0,124.3261839,0.25,0.165137615,7,72.5,67.77,4.73,7.582317138,Treatment,
2013,established,3,TP03B8,TP03,,0,176.9180601,0.222222222,0.165137615,7,66.2,67.77,-1.57,7.582317138,Treatment,
